,propertyCode,price,operation,size,rooms,bathrooms,latitude,longitude,priceByArea,propertyType,floorNumeric
38,31103303,329900.0,sale,49.0,1,1,38.7285294,-9.145105699999998,6733.0,flat,6.0
39,31102249,850000.0,sale,117.0,2,2,38.7184107,-9.155717800000001,7265.0,penthouse,4.0
0,30790664,225000.0,sale,33.0,0,1,38.721304700000005,-9.128396400000002,6818.0,studio,3.0
1,30784053,415000.0,sale,74.0,1,2,38.719559100000005,-9.1308125,5608.0,flat,3.0
2,30892170,500000.0,sale,79.0,1,1,38.7444696,-9.0966036,6329.0,flat,1.0
3,31146189,550000.0,sale,201.0,2,2,38.729737,-9.135215800000001,2736.0,flat,4.0
4,31021092,83000.0,sale,18.0,0,1,38.716933700000006,-9.145239,4611.0,studio,0.0
9,31003715,418999.0,sale,82.0,3,1,38.7537854,-9.144205099999999,5110.0,flat,1.0
10,30939678,219000.0,sale,50.0,1,1,38.706711999999996,-9.1571587,4380.0,flat,4.0
16,31141585,359000.0,sale,105.0,2,1,38.7574979,-9.139384,3419.0,flat,5.0
17,31022714,199000.0,sale,45.0,0,1,38.7149303,-9.1296921,4422.0,studio,2.0
18,30920911,650000.0,sale,158.0,5,1,38.7333487,-9.134400999999999,4114.0,flat,2.0
22,30840946,650000.0,sale,155.0,5,4,38.7210023,-9.133958,4194.0,flat,3.0
23,30773342,458000.0,sale,116.0,4,2,38.738103,-9.1345199,3948.0,flat,4.0
29,31147132,750000.0,sale,102.0,3,2,38.7152486,-9.1571562,7353.0,flat,2.0
30,31138616,550000.0,sale,108.0,4,2,38.7288292,-9.133598300000001,5093.0,flat,1.0
34,30532080,2565000.0,sale,220.0,4,4,38.7263618,-9.1550289,11659.0,flat,3.0
36,29611647,690000.0,sale,128.8,2,2,38.7283126,-9.146371,5357.0,flat,5.0
37,30869660,1750000.0,sale,210.0,4,2,38.7133076,-9.1439026,8333.0,flat,2.0
38,30982534,250000.0,sale,57.0,1,1,38.743481700000004,-9.1251224,4386.0,flat,6.0
4,30797188,497000.0,sale,148.0,4,2,38.734185100000005,-9.1367449,3358.0,flat,1.0
5,30294544,175000.0,sale,45.0,1,1,38.7370131,-9.1216292,3889.0,flat,2.0
